"","Date","region1","region2","region3","region1_alt","region2_alt","region3_alt"
"127",19000507,NA,NA,NA,NA,NA,NA
"128",19000508,NA,NA,NA,NA,NA,NA
"129",19000509,NA,NA,NA,NA,NA,NA
"130",19000510,NA,NA,NA,NA,NA,NA
"131",19000511,NA,NA,NA,NA,NA,NA
"132",19000512,NA,NA,NA,NA,NA,NA
"133",19000513,NA,NA,NA,NA,NA,NA
"134",19000514,NA,NA,NA,NA,NA,NA
"135",19000515,NA,NA,NA,NA,NA,NA
"136",19000516,NA,NA,NA,NA,NA,NA
"137",19000517,NA,NA,NA,NA,NA,NA
"138",19000518,NA,NA,NA,NA,NA,NA
"139",19000519,NA,NA,NA,NA,NA,NA
"140",19000520,NA,NA,NA,NA,NA,NA
"141",19000521,NA,NA,NA,NA,NA,NA
"142",19000522,NA,NA,NA,NA,NA,NA
"143",19000523,NA,NA,NA,NA,NA,NA
"144",19000524,NA,NA,NA,NA,NA,NA
"145",19000525,NA,NA,NA,NA,NA,NA
"146",19000526,NA,NA,NA,NA,NA,NA
"147",19000527,NA,NA,NA,NA,NA,NA
"148",19000528,NA,NA,NA,NA,NA,NA
"149",19000529,NA,NA,NA,NA,NA,NA
"150",19000530,NA,NA,NA,NA,NA,NA
"151",19000531,NA,NA,NA,NA,NA,NA
"152",19000601,NA,NA,NA,NA,NA,NA
"153",19000602,NA,NA,NA,NA,NA,NA
"154",19000603,NA,NA,NA,NA,NA,NA
"155",19000604,NA,NA,NA,NA,NA,NA
"156",19000605,NA,NA,NA,NA,NA,NA
"157",19000606,NA,NA,NA,NA,NA,NA
"158",19000607,NA,NA,NA,NA,NA,NA
"159",19000608,NA,NA,NA,NA,NA,NA
"160",19000609,NA,NA,NA,NA,NA,NA
"161",19000610,NA,NA,NA,NA,NA,NA
"162",19000611,NA,NA,NA,NA,NA,NA
"163",19000612,NA,NA,NA,NA,NA,NA
"164",19000613,NA,NA,NA,NA,NA,NA
"165",19000614,NA,NA,NA,NA,NA,NA
"166",19000615,NA,NA,NA,NA,NA,NA
"167",19000616,NA,NA,NA,NA,NA,NA
"168",19000617,NA,NA,NA,NA,NA,NA
"169",19000618,NA,NA,NA,NA,NA,NA
"170",19000619,NA,NA,NA,NA,NA,NA
"171",19000620,NA,NA,NA,NA,NA,NA
"172",19000621,NA,NA,NA,NA,NA,NA
"173",19000622,NA,NA,NA,NA,NA,NA
"174",19000623,NA,NA,NA,NA,NA,NA
"175",19000624,NA,NA,NA,NA,NA,NA
"176",19000625,NA,NA,NA,NA,NA,NA
"177",19000626,NA,NA,NA,NA,NA,NA
"178",19000627,NA,NA,NA,NA,NA,NA
"179",19000628,NA,NA,NA,NA,NA,NA
"180",19000629,NA,NA,NA,NA,NA,NA
"181",19000630,NA,NA,NA,NA,NA,NA
"182",19000701,NA,NA,NA,NA,NA,NA
"183",19000702,NA,NA,NA,NA,NA,NA
"184",19000703,NA,NA,NA,NA,NA,NA
"185",19000704,NA,NA,NA,NA,NA,NA
"186",19000705,NA,NA,NA,NA,NA,NA
"187",19000706,NA,NA,NA,NA,NA,NA
"188",19000707,NA,NA,NA,NA,NA,NA
"189",19000708,NA,NA,NA,NA,NA,NA
"190",19000709,NA,NA,NA,NA,NA,NA
"191",19000710,NA,NA,NA,NA,NA,NA
"192",19000711,NA,NA,NA,NA,NA,NA
"193",19000712,NA,NA,NA,NA,NA,NA
"194",19000713,NA,NA,NA,NA,NA,NA
"195",19000714,NA,NA,NA,NA,NA,NA
"196",19000715,NA,NA,NA,NA,NA,NA
"197",19000716,NA,NA,NA,NA,NA,NA
"198",19000717,NA,NA,NA,NA,NA,NA
"199",19000718,NA,NA,NA,NA,NA,NA
"200",19000719,NA,NA,NA,NA,NA,NA
"201",19000720,NA,NA,NA,NA,NA,NA
"202",19000721,NA,NA,NA,NA,NA,NA
"203",19000722,NA,NA,NA,NA,NA,NA
"204",19000723,NA,NA,NA,NA,NA,NA
"205",19000724,NA,NA,NA,NA,NA,NA
"206",19000725,NA,NA,NA,NA,NA,NA
"207",19000726,NA,NA,NA,NA,NA,NA
"208",19000727,NA,NA,NA,NA,NA,NA
"209",19000728,NA,NA,NA,NA,NA,NA
"210",19000729,NA,NA,NA,NA,NA,NA
"211",19000730,NA,NA,NA,NA,NA,NA
"212",19000731,NA,NA,NA,NA,NA,NA
"213",19000801,NA,NA,NA,NA,NA,NA
"214",19000802,NA,NA,NA,NA,NA,NA
"215",19000803,NA,NA,NA,NA,NA,NA
"216",19000804,NA,NA,NA,NA,NA,NA
"217",19000805,NA,NA,NA,NA,NA,NA
"218",19000806,NA,NA,NA,NA,NA,NA
"219",19000807,NA,NA,NA,NA,NA,NA
"220",19000808,NA,NA,NA,NA,NA,NA
"221",19000809,NA,NA,NA,NA,NA,NA
"222",19000810,NA,NA,NA,NA,NA,NA
