"site_code","Site_Name","ZIP"
482010069,"Milby Park","77017"
482010026,"Channelview","77530"
482011039,"Houston Deer Park #2","77536"
482016000,"Cesar Chavez","77017"
480391607,"Oyster Creek","77541"
482010617,"Wallisville Road","77562"
482010803,"HRM #3 Haden Rd","77015"
482010057,"Galena Park","77547"
482011035,"Clinton","77029"
482011015,"Lynchburg Ferry","77571"
