"","V1"
"494",318232.580228127
"495",259349.45054527
"496",240139.052749444
"497",289768.261631764
"498",301879.847212163
"499",216405.600020438
"500",293137.913961882
"501",255393.7314669
"502",243574.208098601
"503",418041.850813867
"504",442370.005741575
"505",250200.183225052
"506",471056.156091686
"507",561354.626684325
"508",240139.052749444
"509",516234.073451179
"510",733299.136013237
"511",744750.722122585
"512",309912.358328996
"513",307896.342558247
"514",703776.767273706
"515",557517.163257941
"516",378283.579538791
"517",476512.326710681
"518",580179.214407562
"519",519147.01378505
"520",352165.64427385
"521",644986.697628179
"522",669957.168658196
"523",375111.620187128
"524",387277.85958663
"525",546524.168590391
"526",469006.263338484
"527",270499.887804692
"528",453710.434427938
"529",785188.538696613
"530",790273.809956047
"531",523030.712313155
"532",708047.272262678
"533",710648.081313477
"534",715450.294825497
"535",323326.436352848
"536",311892.257171626
"537",523537.099905677
"538",375111.335936771
"539",758961.497124231
"540",644897.947627921
"541",659142.932494815
"542",786537.845113303
"543",790685.158450994
"544",798649.795691262
"545",618724.152182585
"546",624624.405621742
"547",457631.932303311
"548",337911.978828653
"549",509968.558920115
"550",569337.948979538
"551",416349.356185231
"552",352933.689605795
"553",692481.422933789
"554",535982.812646439
"555",462194.874799964
"556",408241.584332094
"557",391101.587902751
"558",585414.735186778
"559",571927.774660235
"560",576673.673916678
"561",641012.252326891
"562",292764.852751208
"563",663586.038077529
"564",531125.279063353
"565",302733.553483311
"566",480609.140819671
"567",345604.362417814
"568",340502.931529959
"569",284845.411799564
"570",663586.038077529
"571",699625.441296564
"572",356690.9045942
"573",564523.520469084
"574",467444.380448342
"575",609145.666534756
"576",454500.322392546
"577",480504.938393973
"578",666262.605179316
"579",543080.358727266
"580",420606.35106244
"581",371333.346768216
"582",597761.027468963
"583",599661.069701537
"584",577225.849559624
"585",872998.072933567
"586",360781.946120259
"587",626529.602604071
"588",331428.43591907
"589",519193.579780654
"590",680074.656339189
"591",521915.535769384
"592",278033.802860552
"593",225463.423184871
"594",373973.536860761
"595",477570.908159117
"596",306209.082164803
"597",639427.733916346
"598",901997.820655613
"599",337599.759283399
"600",488480.539567574
"601",264758.382080809
